corpus,drama,begin,end,Speaker.figure_surface,Speaker.figure_id,Token.surface,Token.pos,Token.lemma,length,Mentioned.figure_surface,Mentioned.figure_id
tg,pmtc.0,2030,2253,SIEGFRIED,20,Frisch,ADJD,frisch,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,ists,ADV,ists,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,und,KON,und,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,kühl,ADJD,kühl,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,.,$.,--,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,Ein,ART,ein,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,Schütteln,NN,schüttel,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,",","$,",--,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,wie,PWAV,wie,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,vor,APPR,vor,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,Frost,NN,frost,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,",","$,",--,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,In,APPR,in,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,allen,PIDAT,aller,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,Bäumen,NN,baum,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,.,$.,--,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,Und,KON,und,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,der,ART,der,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,Sonne,NN,sonne,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,Licht,NN,licht,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,So,ADV,so,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,welk,ADJD,welk,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,",","$,",--,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,so,ADV,so,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,matt,ADJD,matt,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,"!",$.,--,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,Ein,ART,ein,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,Morgen,NN,morgen,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,ists,ADV,ists,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,",","$,",--,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,wo,PWAV,wo,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,man,PIS,man,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,Zu,APPR,zu,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,Pferd,NN,pferd,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,muß,VMFIN,müssen,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,.,$.,--,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,Ist,VAFIN,sein,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,denn,ADV,denn,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,alles,PIS,alle,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,jetzt,ADV,jetzt,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,bereit,ADJD,bereit,36946,,
tg,pmtc.0,2030,2253,SIEGFRIED,20,?,$.,--,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Nichts,PIAT,nichts,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,fehlt,VVFIN,fehlen,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,",","$,",--,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,als,KOKOM,als,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Ihr,PPER,ihr,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,.,$.,--,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Mit,APPR,mit,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,ungeduldgem,ADJA,ungeduldg,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Huf,NN,huf,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Scharrt,NE,scharren,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Euer,NE,euer,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Roß,NE,roß,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,den,ART,der,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Boden,NN,boden,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,.,$.,--,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Laufen,NN,laufen,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,wirds,VVFIN,wirdsen,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,",","$,",--,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Wenn,KOUS,wenn,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Ihr,PPOSAT,ihr,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,es,PPER,es,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,auch,ADV,auch,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,nicht,PTKNEG,nicht,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,spornen,VVINF,spornen,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,mögt,VVFIN,mögen,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,.,$.,--,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Es,PPER,es,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,friert,VVFIN,frieren,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,.,$.,--,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Im,APPRART,in,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Sattel,NN,sattel,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,sitzt,VVFIN,sitzen,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,schon,ADV,schon,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Reisiger,NN,reisiger,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,",","$,",--,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,wie,PWAV,wie,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Knecht,NE,knecht,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,",","$,",--,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Nur,ADV,nur,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,",","$,",--,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,daß,KOUS,daß,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,der,ART,der,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Arm,NN,arm,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,der,ART,der,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Liebe,NN,liebe,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,hie,ADV,hie,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,und,KON,und,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,da,ADV,da,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Noch,ADV,noch,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,einen,ART,ein,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,wieder,ADV,wieder,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,sucht,VVFIN,suchen,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,herabzuziehn,CARD,herabzuziehn,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,.,$.,--,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Allein,ADV,allein,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,im,APPRART,in,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Bügel,NN,bügel,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,hält,VVFIN,halten,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,der,ART,der,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Bursch,NN,bursch,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,sich,PRF,sich,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,fest,ADJD,fest,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,Und,KON,und,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,lacht,VVFIN,lachen,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,",","$,",--,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,um,KOUI,um,36946,,
tg,pmtc.0,2259,2664,HILDEBRANT,21,nicht,PTKNEG,nicht,36946,,
